Country,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,RenewableShare,CO2PerCapita
Slovakia,0.17204301075268819,0.03160918249106645,0.245922024723868,22.671,5.771668
Mexico,0.16129032258064518,0.027444823753392057,0.2378324844368987,22.938,3.5284045
Cyprus,0.16129032258064518,0.029253249993466315,0.2238423382935517,16.92,5.3108797
Hungary,0.16129032258064518,0.04162304508919325,0.245922024723868,21.199,4.674298
Slovenia,0.15053763440860216,0.07813468470254344,0.26581277672359266,29.616,6.017234
Thailand,0.15053763440860216,0.02352245984996797,0.21647028523597964,15.256,3.7997093
France,0.15053763440860216,0.017571366690247756,0.2434379638680714,24.542,4.4555726
Bosnia and Herzegovina,0.15053763440860216,0.08158765765368388,0.25821812596006144,37.869,6.4724236
Italy,0.15053763440860216,0.19915537640820433,0.26778176025487854,36.438,5.704794
Uzbekistan,0.15053763440860216,0.034959446960492004,0.21582410528005136,7.744,3.4089596
North Macedonia,0.13978494623655915,0.13204490185973142,0.2697801316000642,27.182,3.9952326
Indonesia,0.13978494623655915,0.012729786610456465,0.2347437508727831,19.617,2.7185707
Ukraine,0.13978494623655915,0.011900373877146566,0.21582410528005136,16.518,3.4846325
Serbia,0.13978494623655915,0.06511698789866598,0.2629130009775171,29.491,6.547047
Israel,0.12903225806451613,0.02313593218886573,0.21647028523597964,9.508,6.8401985
Egypt,0.12903225806451613,0.036722279357625856,0.2107903069061726,11.221,2.2189891
Greece,0.12903225806451613,0.17558226788040318,0.24845730332926874,43.307,5.532692
India,0.12903225806451613,0.009375699968570492,0.22880087110385192,20.476,1.9861692
Ireland,0.12903225806451613,0.05568500504057298,0.2554808313385767,38.619,7.177214
Azerbaijan,0.12903225806451613,0.007304964618793619,0.19383666291908097,6.343,3.999354
South Africa,0.12903225806451613,0.02313593218886573,0.21647028523597964,9.092,6.8738866
Bulgaria,0.12903225806451613,0.06750935280470978,0.24676134904033176,18.703,6.8755846
Belarus,0.11827956989247312,0.015704814339241573,0.19178004050084138,2.711,6.226867
Czechia,0.11827956989247312,0.1496589179738701,0.21712034615260423,12.337,8.904502
Morocco,0.11827956989247312,0.03074642248080517,0.23247934170037685,17.382,1.8693061
Venezuela,0.11827956989247312,0.024165494069504617,0.13539527203898352,80.468,3.8430314
Iraq,0.10752688172043012,0.0030051995349834907,0.18877565344338695,3.169,4.9385333
Algeria,0.10752688172043012,0.002069457346455944,0.18397220170182496,0.839,4.238998
Argentina,0.10752688172043012,0.039300160602173076,0.24845730332926874,31.426,4.047052
Moldova,0.10752688172043012,0.004437068489255072,0.18682448389875247,6.877,1.7018101
Netherlands,0.10752688172043012,0.014491104825023055,0.245922024723868,39.871,7.1213217
Poland,0.10752688172043012,0.09988523080158504,0.24180961628366957,21.043,8.20336
Spain,0.10752688172043012,0.05279230529824967,0.245922024723868,42.218,4.8971643
Turkey,0.10752688172043012,0.04938590572908964,0.245922024723868,41.973,5.095457
Philippines,0.10752688172043012,0.010596740765870352,0.22664913877372164,22.583,1.3246514
Vietnam,0.10752688172043012,0.1955745074640577,0.2238423382935517,51.551,3.2368684
Hong Kong,0.10752688172043012,0.002069457346455944,0.18397220170182496,0.393,4.120568
China,0.10752688172043012,0.05787720726381692,0.2519201228878648,30.673,8.217776
Ecuador,0.10752688172043012,0.03194080291273208,0.15350546766203227,75.725,2.36007
Belgium,0.10752688172043012,0.005596729643581388,0.23627802375430457,25.449,7.6375527
Tunisia,0.09677419354838711,0.0007689008606846503,0.18257847290105356,4.389,2.5401497
Lithuania,0.09677419354838711,0.04275769462192078,0.15318024421359577,74.82,4.5777125
Sweden,0.09677419354838711,0.21291987427845757,0.17548804676897378,68.383,3.4653375
Switzerland,0.09677419354838711,0.1210072934050867,0.19917651589205843,59.406,3.7477124
Malta,0.09677419354838711,0.0021231651315802794,0.18257847290105356,0.5,3.3590784
Malaysia,0.09677419354838711,0.008158855320338252,0.21777432309884698,19.04,8.124508
Colombia,0.09677419354838711,0.023766480150031626,0.15318024421359577,75.497,1.7286528
Japan,0.09677419354838711,0.005098948594760831,0.23322927506070065,23.631,8.237319
United Kingdom,0.09677419354838711,0.0009391905429773594,0.22880087110385192,41.448,4.563232
Georgia,0.09677419354838711,0.025356729358111552,0.15318024421359577,76.194,3.1622012
Uruguay,0.08602150537634409,0.04040526936911545,0.13413928621301893,84.443,2.212046
Denmark,0.08602150537634409,0.008724317040642285,0.13389088012743927,83.963,4.9288173
Latvia,0.08602150537634409,0.016410501123589775,0.1528563959171611,72.134,3.5129132
Romania,0.08602150537634409,0.04070015764546074,0.24426038942167974,42.149,3.8183794
Portugal,0.08602150537634409,0.11682504313237357,0.19862932766158573,59.817,3.9092069
Montenegro,0.07526881720430108,0.05216432577775548,0.2211042057150373,52.322,4.0595264
El Salvador,0.07526881720430108,0.010007942556398372,0.15189301527062438,73.228,1.2599217
Chile,0.07526881720430108,0.05216432577775548,0.2211042057150373,52.956,4.385191
